num,Issue Id,Description,Assignee_Id,Assignee_email,Reporter_id,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
0,82036397,Decrypt and encrypt cheque images (AES 256),,NA,3074484,int_127,2021-03-31T16:47:43.130Z,,0,0.0
1,82030954,PS-Security | user delete action not available in latest security,,NA,3993694,int_155,2021-03-31T15:49:51.858Z,2021-04-05T11:13:29.343Z,0,0.0
2,82026067,Review Workflow and Payments Workflow,,NA,4432374,NA,2021-03-31T15:16:52.381Z,,0,0.0
3,82024847,Certify the new security internally by the security team.,,NA,3074484,int_127,2021-03-31T15:07:35.462Z,,0,0.0
4,82024378,The LDAP CR need to be added to the new security,,NA,3074484,int_127,2021-03-31T15:05:08.552Z,,0,0.0
5,82024155,The CyberArk Integration feature need to be added to the new security,,NA,3074484,int_127,2021-03-31T15:03:41.934Z,,0,0.0
6,82023969,No drawer name validation in DE or QA,,NA,6367608,NA,2021-03-31T15:02:27.938Z,,600,0.0
7,82023890,MFA feature need to be added to the new security,,NA,3074484,int_127,2021-03-31T15:01:58.207Z,,0,0.0
8,82022441,handle credit confirmation rejected payments,5050988.0,int_490,5050988,int_490,2021-03-31T14:52:19.844Z,2021-03-31T15:11:21.976Z,0,1800.0
9,82019565,Upgrade Navy and Espresso cluster to latest,4308710.0,int_243,4308710,int_243,2021-03-31T14:29:44.206Z,2021-04-01T07:03:04.091Z,0,10800.0
10,82016371,Reflect password-utility to unified-17,4902499.0,NA,4902499,NA,2021-03-31T14:01:09.173Z,2021-04-01T11:56:14.588Z,7200,7200.0
11,82014393,feat: #144 saving check images using S3,3918501.0,NA,7832270,NA,2021-03-31T13:42:59.743Z,2021-04-04T12:27:43.024Z,10800,0.0
12,82013962,Customer App Android / IOS - The saved bill amount is not correct at pending bill view,3844403.0,int_383,5089663,int_380,2021-03-31T13:38:09.180Z,2021-04-08T06:45:06.435Z,3600,2400.0
13,82013792,Customer App Android / IOS - The saved bill amount is not correct at pending bill view,3487589.0,NA,5089663,int_380,2021-03-31T13:36:41.494Z,2021-04-05T12:51:54.372Z,1200,0.0
14,82013515,fix authorization filter uri check to servletpath,3874701.0,int_122,3874701,int_122,2021-03-31T13:34:02.070Z,2021-03-31T14:09:02.307Z,0,0.0
15,82013458,Customer app Android: pending bills screen: due bill (yes/ no) is not displayed,3487589.0,NA,5089663,int_380,2021-03-31T13:33:26.240Z,2021-04-05T09:43:05.029Z,1200,1200.0
16,82013234,"Customer app IOS and Android: Pending Bills screen for partial billers , display the remaining amount instead of bill amount",3844403.0,int_383,5089663,int_380,2021-03-31T13:31:16.136Z,2021-04-08T07:10:46.410Z,3600,1800.0
17,82013168,"Customer app IOS and Android: Pending Bills screen for partial billers , display the remaining amount instead of bill amount",3487589.0,NA,5089663,int_380,2021-03-31T13:30:41.359Z,2021-04-05T12:12:23.710Z,600,0.0
18,82011757,Pen test mockup mob app,2984940.0,NA,2985217,int_471,2021-03-31T13:17:05.829Z,,0,0.0
19,82011668,add new parameter to excluded message types from related messages,,NA,2862200,int_28,2021-03-31T13:16:10.719Z,,0,0.0
20,82010716,Final Entry Report: incorrect records,2958010.0,int_239,2958010,int_239,2021-03-31T13:08:20.250Z,2021-03-31T13:28:10.393Z,0,0.0
21,82010337,apply patterns from modsecurity XSS core ruleset to centralized security filter,3918481.0,NA,2985217,int_471,2021-03-31T13:05:17.800Z,,86400,0.0
22,82008746,CVE lookup for env web apps,,NA,2985217,int_471,2021-03-31T12:50:52.797Z,,0,0.0
23,82008615,Signature tab in inward must be disabled,3126812.0,NA,4123273,int_48,2021-03-31T12:49:35.547Z,2021-04-01T10:10:59.279Z,12600,7200.0
24,82008409,handle keyboard in pinCode screen when fill the pincode field and want to edit,,NA,5185059,NA,2021-03-31T12:47:41.739Z,,0,0.0
25,82008366,handle keyboard in pinCode screen when fill the pincode field and want to edit,,NA,5185059,NA,2021-03-31T12:47:24.143Z,,0,0.0
26,82008305,"LDAP Configurations: Adding new (LDAP Configurations) is not functioning, with error thrown on console.",3891855.0,NA,4056794,NA,2021-03-31T12:46:31.768Z,2021-04-04T06:41:26.861Z,1500,1200.0
27,82008273,add correspondent environment variable for nbk chart,5450858.0,NA,5450858,NA,2021-03-31T12:46:13.666Z,2021-03-31T12:52:11.711Z,0,0.0
28,82008249,Payment Initiation-FRONTEND,6116691.0,NA,6116691,NA,2021-03-31T12:46:01.742Z,,86400,28800.0
29,82007926,feat: #9 Add FTP Communucation services Documentation,7832270.0,NA,7832270,NA,2021-03-31T12:43:21.886Z,2021-04-07T11:25:02.998Z,21600,18000.0
30,82007713,Integration failed error message empty,3127285.0,NA,2982344,int_20,2021-03-31T12:41:28.830Z,2021-04-13T10:15:17.826Z,21600,3600.0
31,82007486,feat: #143 implement rescan k6 list,3918501.0,NA,7832270,NA,2021-03-31T12:39:34.982Z,2021-03-31T13:02:02.808Z,1800,0.0
32,82007475,pincode enhanecement,5185059.0,NA,5185059,NA,2021-03-31T12:39:22.069Z,2021-03-31T13:23:52.602Z,3600,7200.0
33,82006959,Reflect password-utility to unified-17,4902499.0,NA,4902499,NA,2021-03-31T12:34:22.817Z,2021-04-01T11:56:17.069Z,7200,7200.0
34,82006828,Reflect latest SEC and SEC-API,3099424.0,int_421,6367608,NA,2021-03-31T12:32:48.544Z,2021-04-01T11:42:26.892Z,1800,0.0
35,82006806,[JOAJIB-116] Search method,3472217.0,int_301,5113904,int_215,2021-03-31T12:32:19.755Z,,0,0.0
36,82006483,Add CAS record ID in pacs.008 generated by pain.001 even if it is not there,5050988.0,int_490,5050988,int_490,2021-03-31T12:27:56.797Z,2021-04-07T12:39:30.444Z,0,2700.0
37,82006233,JFW Calendar Manager wrongly calculates next business date,3918495.0,int_491,3918559,int_448,2021-03-31T12:25:09.843Z,2021-04-04T07:43:41.986Z,0,0.0
38,82004920,"Showing the Delivery Branch in the ""Delivery Branch"" Column of Return Cheques Delivery in PDC Module",4902499.0,NA,5096256,int_210,2021-03-31T12:10:38.675Z,,10800,7200.0
39,82004871,Add Jacoco,3192625.0,NA,3192625,NA,2021-03-31T12:10:14.640Z,2021-03-31T12:22:10.954Z,0,0.0
40,82003376,Implement IAsvSignaturesRepository,3016035.0,int_415,3612144,int_414,2021-03-31T11:55:21.287Z,2021-04-07T12:32:41.499Z,14400,0.0
41,82003291,Update value under switch org dropdown list to add 2 digits country code at the beginning of the value,3596316.0,NA,3094005,int_518,2021-03-31T11:54:06.129Z,2021-04-01T07:37:08.745Z,7200,7200.0
42,82003240,phishing campaign,3918504.0,int_465,2985217,int_471,2021-03-31T11:53:25.839Z,,57600,0.0
43,82002971,"Update cheque withdrawal message to include ""collectBranch"" in the message",3596316.0,NA,3094005,int_518,2021-03-31T11:50:03.165Z,2021-04-05T06:04:24.789Z,3600,3600.0
44,82002876,handle receiving failed liquidation from central bank on Return check,,NA,3596325,int_39,2021-03-31T11:48:42.460Z,,0,0.0
45,82002532,Receive Payment confirmation from central bank on check Return Payment,,NA,3596325,int_39,2021-03-31T11:44:34.146Z,,0,0.0
46,82002008,send outward Return on an inward check to Central Bank,,NA,3596325,int_39,2021-03-31T11:38:43.300Z,,0,0.0
47,82001637,feat: #142 Implement rescan API,3918501.0,NA,7832270,NA,2021-03-31T11:34:00.748Z,2021-03-31T12:40:56.927Z,10800,0.0
48,82001571,Change JWT secret storage in JFW19,3918481.0,NA,3918504,int_465,2021-03-31T11:32:59.914Z,2021-04-01T05:25:42.748Z,93600,46800.0
49,82001229,Change default password hash to PBKDF2 in JFW19,3918481.0,NA,3918504,int_465,2021-03-31T11:29:53.965Z,2021-03-31T11:42:07.390Z,86400,46800.0
50,82000930,add backend for upload of jasperreports,3087517.0,int_356,3099895,NA,2021-03-31T11:26:54.069Z,2021-04-01T14:09:20.272Z,43200,0.0
51,82000906,Create new Return Payment on a check,,NA,3596325,int_39,2021-03-31T11:26:36.373Z,,0,0.0
52,82000904,Analyze environment scan reports and make action plan,3918504.0,int_465,2985217,int_471,2021-03-31T11:26:35.177Z,2021-04-05T15:09:53.569Z,18000,18000.0
53,82000639,Android penetration testing PDP,2984940.0,NA,2985217,int_471,2021-03-31T11:24:03.953Z,,216000,192600.0
54,82000571,Return outward check payment.,,NA,3596325,int_39,2021-03-31T11:23:26.592Z,,0,0.0
55,82000533,handle refunded transactions ui,5185059.0,NA,5185059,NA,2021-03-31T11:23:01.275Z,2021-03-31T12:06:34.975Z,10800,0.0
56,82000483,Add the (Inactive/Delete) Scheduled Jobs to the Back-End.,5205719.0,NA,3891855,NA,2021-03-31T11:22:25.227Z,2021-04-01T05:59:28.505Z,18300,18000.0
57,82000100,Python script for DefectDojo authentication token regeneration script,2985217.0,int_471,2985217,int_471,2021-03-31T11:19:04.683Z,,0,0.0
58,81996651,fix failing behavior for pacs.004 dummy integrator,5050988.0,int_490,5050988,int_490,2021-03-31T10:51:43.260Z,2021-03-31T11:00:26.714Z,0,3600.0
59,81996542,feat: #141 add Graphql documentation to widdershins stage in pipeline using  graphql-markdown,3095560.0,int_4,7832270,NA,2021-03-31T10:50:48.966Z,2021-04-06T07:40:08.239Z,25200,0.0
60,81995470,Multi-Tenancy Support Research and Design,6346918.0,NA,2762343,int_244,2021-03-31T10:42:43.332Z,,0,0.0
61,81995221,Unify common pom for all projects,6346918.0,NA,2762343,int_244,2021-03-31T10:40:39.709Z,,0,0.0
62,81994617,Create generic client for no wsdl based services.,3344832.0,NA,3344832,NA,2021-03-31T10:35:19.883Z,2021-03-31T13:10:50.985Z,0,9000.0
63,81992776,BUG: Remove user from group,,NA,3097752,int_2,2021-03-31T10:23:19.983Z,2021-03-31T11:31:53.948Z,0,0.0
64,81991878,Issue in Batch Payment,,NA,2846537,int_277,2021-03-31T10:18:11.382Z,,57600,0.0
65,81991425,Remove Creditor Party for Signature Dialog,2862920.0,NA,2846537,int_277,2021-03-31T10:15:11.320Z,2021-04-08T08:32:50.410Z,28800,28800.0
66,81991159,"Change ""Attachments Requires"" Default Flag to True",6245746.0,NA,2846537,int_277,2021-03-31T10:12:56.451Z,,28800,0.0
67,81990968,Activate Lookups on System Workflow,6245746.0,NA,2846537,int_277,2021-03-31T10:11:38.932Z,,57600,72000.0
68,81990739,Auto Calculate Number of Payments,2862920.0,NA,2846537,int_277,2021-03-31T10:09:55.485Z,,144000,0.0
69,81990232,Auto Generate Request ID,3016026.0,NA,2846537,int_277,2021-03-31T10:06:33.121Z,,86400,0.0
70,81989812,Read static merchant QR code,5185059.0,NA,4011806,int_382,2021-03-31T10:02:56.996Z,2021-03-31T12:23:31.801Z,7200,7200.0
71,81989810,Add Service Configurations Reader,3016035.0,int_415,3612144,int_414,2021-03-31T10:02:56.615Z,2021-03-31T10:27:55.213Z,10800,0.0
72,81989599,Roles - Local roles : (Resubmit) is not functioning for returned items.,5205719.0,NA,4056794,NA,2021-03-31T10:01:24.028Z,2021-04-04T13:19:58.773Z,4500,3600.0
73,81989576,Landing Page,,NA,4432374,NA,2021-03-31T10:01:13.169Z,,0,0.0
74,81989331,Add allowance period validation to the cheque withdraw request,3596316.0,NA,3094005,int_518,2021-03-31T09:59:17.901Z,2021-04-01T06:11:13.267Z,0,0.0
75,81988407,apply changes on v1.3.0,3232180.0,int_221,3232180,int_221,2021-03-31T09:48:03.520Z,,0,0.0
76,81987433,Arabic Version of ECC/PDC/OnUs Issues,8105748.0,NA,8401868,NA,2021-03-31T09:38:26.529Z,,0,0.0
77,81987048,"Check's batch status should go back to ""Technically Accepted"" when the received liquidation from central is failed",,NA,3596325,int_39,2021-03-31T09:35:16.194Z,,0,0.0
78,81986688,cach mecanizem for suspend then reactivate,2982388.0,NA,5903443,NA,2021-03-31T09:29:54.357Z,2021-03-31T13:49:26.882Z,28800,10800.0
79,81986631,Add oracle support,4057656.0,NA,3798456,NA,2021-03-31T09:29:11.072Z,2021-04-04T12:52:06.154Z,21600,36000.0
80,81986248,Customer app IOS and Android: EBPP Billers at pending bills screen: bill cycle is incorrect,3844403.0,int_383,5089663,int_380,2021-03-31T09:23:50.075Z,2021-04-08T06:46:28.210Z,3600,0.0
81,81986194,Customer app IOS and Android: EBPP Billers at pending bills screen: bill cycle is incorrect,3487589.0,NA,5089663,int_380,2021-03-31T09:22:49.995Z,2021-04-12T06:05:05.349Z,3600,3600.0
82,81986122,receive notification of cancellation from Central on a checks batch,,NA,3596325,int_39,2021-03-31T09:21:30.479Z,,0,0.0
83,81985027,Inject CR - Calculate charges on Receiver,5163289.0,NA,3099576,int_259,2021-03-31T09:12:38.083Z,2021-04-05T12:58:14.478Z,0,0.0
84,81984410,Create New Maven Project for Password-Utility,4902499.0,NA,4902499,NA,2021-03-31T09:07:05.673Z,2021-03-31T10:04:40.877Z,3600,3600.0
85,81984044,modify Request to pay result request,5361480.0,NA,6116805,NA,2021-03-31T09:03:25.638Z,2021-03-31T16:13:56.838Z,0,0.0
86,81984020,feat: #140 Handle failure upon insertion for images and customizations,3918501.0,NA,7832270,NA,2021-03-31T09:03:10.039Z,2021-03-31T12:40:02.878Z,10800,9000.0
87,81983079,Update grid with single and multiple grid support,3051690.0,NA,3798456,NA,2021-03-31T08:56:55.326Z,2021-04-13T07:32:08.908Z,0,0.0
88,81982920,Retrieve the cheque images for history cheques,3126812.0,NA,3074484,int_127,2021-03-31T08:55:36.802Z,2021-04-07T07:02:52.544Z,28800,28800.0
89,81982673,Setup the project with the initial profiles and deployment configurations,5450858.0,NA,2927789,int_552,2021-03-31T08:53:34.288Z,2021-04-07T07:23:42.514Z,28800,32400.0
90,81982232,add properties profiling for all projects,5050988.0,int_490,5050988,int_490,2021-03-31T08:48:05.215Z,,0,0.0
91,81982148,Create control library and migrate it to Angular 11,3798456.0,NA,3798456,NA,2021-03-31T08:46:53.756Z,2021-04-08T11:06:21.047Z,115200,115200.0
92,81981613,Handle unpaid bills response with postpaid inquiry data,3487589.0,NA,3487589,NA,2021-03-31T08:39:45.335Z,2021-04-06T12:36:12.487Z,10800,14400.0
93,81980876,force compatibility between application services depending on liquibase latest check,3874701.0,int_122,5050988,int_490,2021-03-31T08:32:00.277Z,,0,0.0
94,81980620,"The system throws HTTP 500 Error , in case of payment initiation with non existent biller or service",3192621.0,NA,5743104,NA,2021-03-31T08:29:48.951Z,2021-04-01T04:31:31.113Z,3600,3600.0
