,Assignee_email,total_tasks,sender_address,recipients_addresses,recipients_addresses_count
0,int_100,1,int_100,"['int_101', 'int_102', 'int_101', 'int_102', 'int_101', 'int_102', 'int_101', 'int_102', 'int_101', 'int_102', 'int_102', 'int_101', 'int_102', 'int_101', 'int_155', 'int_155', 'int_155', 'int_155', 'int_155', 'int_155', 'int_155', 'ext_326', 'ext_326', 'ext_326', 'ext_326', 'ext_326', 'ext_326']",27.0
1,int_101,7,int_101,"['ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55']",11.0
2,int_107,2,,,
3,int_108,1,,,
4,int_111,15,int_111,"['int_115', 'ext_55', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'ext_118', 'int_119', 'int_68', 'int_115', 'ext_55', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'ext_118', 'int_119', 'int_68', 'int_68', 'ext_118', 'int_119', 'int_68', 'ext_118', 'int_119', 'int_68', 'ext_55', 'ext_55', 'ext_55', 'ext_118', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_118', 'ext_55', 'int_119', 'ext_118', 'ext_118', 'ext_118', 'ext_55', 'int_119', 'ext_55', 'ext_55', 'int_119', 'ext_55', 'int_69', 'int_112', 'ext_55', 'int_119', 'ext_118', 'int_111', 'ext_55', 'int_119', 'int_115', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'int_115', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'ext_55', 'ext_118', 'int_119', 'int_115', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'int_68', 'int_68', 'int_68', 'ext_55', 'ext_118', 'int_119', 'int_114', 'int_115', 'ext_55', 'int_114', 'int_69', 'int_113', 'int_112', 'int_111', 'int_100', 'ext_118', 'int_119', 'int_68', 'ext_55', 'ext_118', 'int_119', 'int_115', 'ext_55', 'ext_118', 'int_119', 'int_113', 'int_100']",108.0
5,int_112,15,,,
6,int_113,14,,,
7,int_114,5,,,
8,int_130,1,int_130,"['ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'int_134', 'int_134', 'int_134', 'int_134', 'int_134', 'int_134', 'int_134']",17.0
9,int_134,1,int_134,"['int_130', 'ext_249', 'int_130', 'ext_249', 'ext_249', 'ext_249', 'ext_249', 'int_130', 'ext_249', 'int_130', 'ext_249', 'ext_249', 'int_130', 'ext_249', 'ext_249', 'ext_249', 'int_130', 'ext_249', 'int_130', 'ext_249', 'int_130', 'ext_249', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33', 'int_130', 'int_130', 'int_33', 'int_33', 'int_130', 'int_33', 'int_130', 'int_33']",50.0
10,int_135,3,int_135,"['int_90', 'int_90', 'int_90', 'int_90', 'int_90', 'int_90', 'int_90', 'int_214', 'int_214', 'int_214', 'int_214', 'int_214', 'int_214', 'int_214', 'int_30', 'int_30', 'int_30', 'int_30', 'int_30', 'int_30', 'int_30']",21.0
11,int_146,3,int_146,"['ext_193', 'ext_193', 'ext_193', 'ext_193', 'ext_193', 'ext_193', 'ext_193', 'ext_193', 'ext_193', 'int_4', 'int_46', 'int_46', 'int_4', 'int_46', 'int_4', 'int_46', 'int_4', 'int_46', 'int_4', 'int_46', 'int_4', 'int_46', 'int_4', 'int_280', 'int_280', 'int_280', 'int_280', 'int_280', 'int_280', 'int_280', 'int_109', 'int_277', 'int_276', 'int_109', 'int_277', 'int_276', 'int_109', 'int_276', 'int_109', 'int_277', 'int_276', 'int_109', 'int_277', 'int_276', 'int_109', 'int_277', 'int_276', 'int_277', 'int_109', 'int_277', 'int_276', 'int_301', 'int_280', 'int_301', 'int_280', 'int_280', 'int_301', 'int_280', 'int_301', 'int_280', 'int_301', 'int_280', 'int_301', 'int_301', 'int_301', 'int_301', 'int_280', 'int_301', 'int_301', 'int_301', 'int_280', 'int_301', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44']",81.0
12,int_149,81,,,
13,int_150,13,,,
14,int_155,5,,,
15,int_159,32,,,
