,Issue Id,Assignee_email,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
0,82036397,,int_88,2021-03-31T16:47:43.130Z,,0,0.0
1,82030954,,int_107,2021-03-31T15:49:51.858Z,2021-04-05T11:13:29.343Z,0,0.0
2,82026067,,int_336,2021-03-31T15:16:52.381Z,,0,0.0
3,82024847,,int_88,2021-03-31T15:07:35.462Z,,0,0.0
4,82024378,,int_88,2021-03-31T15:05:08.552Z,,10800,0.0
5,82024155,,int_88,2021-03-31T15:03:41.934Z,,0,0.0
6,82023969,int_337,int_338,2021-03-31T15:02:27.938Z,,600,0.0
7,82023890,int_339,int_88,2021-03-31T15:01:58.207Z,2021-05-17T11:14:30.687Z,1200,1200.0
8,82022441,int_307,int_307,2021-03-31T14:52:19.844Z,2021-03-31T15:11:21.976Z,0,1800.0
9,82019565,int_165,int_165,2021-03-31T14:29:44.206Z,2021-04-01T07:03:04.091Z,0,10800.0
10,82016371,int_340,int_340,2021-03-31T14:01:09.173Z,2021-04-01T11:56:14.588Z,7200,7200.0
11,82014393,int_341,int_342,2021-03-31T13:42:59.743Z,2021-04-04T12:27:43.024Z,10800,0.0
12,82013962,int_256,int_254,2021-03-31T13:38:09.180Z,2021-04-08T06:45:06.435Z,3600,2400.0
13,82013792,int_343,int_254,2021-03-31T13:36:41.494Z,2021-04-05T12:51:54.372Z,1200,0.0
14,82013515,int_85,int_85,2021-03-31T13:34:02.070Z,2021-03-31T14:09:02.307Z,0,0.0
15,82013458,int_343,int_254,2021-03-31T13:33:26.240Z,2021-04-05T09:43:05.029Z,1200,1200.0
16,82013234,int_256,int_254,2021-03-31T13:31:16.136Z,2021-04-08T07:10:46.410Z,3600,1800.0
17,82013168,int_343,int_254,2021-03-31T13:30:41.359Z,2021-04-05T12:12:23.710Z,600,0.0
18,82011757,int_344,int_296,2021-03-31T13:17:05.829Z,,144000,0.0
19,82011668,,int_26,2021-03-31T13:16:10.719Z,,0,0.0
20,82010716,int_161,int_161,2021-03-31T13:08:20.250Z,2021-03-31T13:28:10.393Z,0,0.0
21,82010337,int_345,int_296,2021-03-31T13:05:17.800Z,,86400,0.0
22,82008746,,int_296,2021-03-31T12:50:52.797Z,,0,0.0
23,82008615,int_346,int_46,2021-03-31T12:49:35.547Z,2021-04-01T10:10:59.279Z,12600,7200.0
24,82008409,,int_347,2021-03-31T12:47:41.739Z,,0,0.0
25,82008366,,int_347,2021-03-31T12:47:24.143Z,,0,0.0
26,82008305,int_348,int_349,2021-03-31T12:46:31.768Z,2021-04-04T06:41:26.861Z,1500,1200.0
27,82008273,int_350,int_350,2021-03-31T12:46:13.666Z,2021-03-31T12:52:11.711Z,0,0.0
28,82008249,int_351,int_351,2021-03-31T12:46:01.742Z,,86400,28800.0
29,82007926,int_342,int_342,2021-03-31T12:43:21.886Z,2021-04-07T11:25:02.998Z,21600,18000.0
30,82007713,int_352,int_18,2021-03-31T12:41:28.830Z,2021-04-13T10:15:17.826Z,21600,3600.0
31,82007486,int_341,int_342,2021-03-31T12:39:34.982Z,2021-03-31T13:02:02.808Z,1800,0.0
32,82007475,int_347,int_347,2021-03-31T12:39:22.069Z,2021-03-31T13:23:52.602Z,3600,7200.0
33,82006959,int_340,int_340,2021-03-31T12:34:22.817Z,2021-04-01T11:56:17.069Z,7200,7200.0
34,82006828,int_280,int_338,2021-03-31T12:32:48.544Z,2021-04-01T11:42:26.892Z,1800,0.0
35,82006806,int_209,int_146,2021-03-31T12:32:19.755Z,2021-05-03T09:13:58.001Z,0,0.0
36,82006483,int_307,int_307,2021-03-31T12:27:56.797Z,2021-04-07T12:39:30.444Z,0,2700.0
37,82006233,int_308,int_286,2021-03-31T12:25:09.843Z,2021-04-04T07:43:41.986Z,0,0.0
38,82004920,int_340,int_141,2021-03-31T12:10:38.675Z,2021-04-26T06:54:54.775Z,10800,10800.0
39,82004871,int_353,int_353,2021-03-31T12:10:14.640Z,2021-03-31T12:22:10.954Z,0,0.0
40,82003376,int_274,int_273,2021-03-31T11:55:21.287Z,2021-04-07T12:32:41.499Z,14400,0.0
41,82003291,int_354,int_319,2021-03-31T11:54:06.129Z,2021-04-01T07:37:08.745Z,7200,7200.0
42,82003240,int_292,int_296,2021-03-31T11:53:25.839Z,2021-04-26T09:12:57.317Z,21600,21600.0
43,82002971,int_354,int_319,2021-03-31T11:50:03.165Z,2021-04-05T06:04:24.789Z,3600,3600.0
44,82002876,,int_37,2021-03-31T11:48:42.460Z,,0,0.0
45,82002532,,int_37,2021-03-31T11:44:34.146Z,,0,0.0
46,82002008,,int_37,2021-03-31T11:38:43.300Z,,0,0.0
47,82001637,int_341,int_342,2021-03-31T11:34:00.748Z,2021-03-31T12:40:56.927Z,10800,0.0
48,82001571,int_345,int_292,2021-03-31T11:32:59.914Z,2021-04-01T05:25:42.748Z,93600,46800.0
49,82001229,int_345,int_292,2021-03-31T11:29:53.965Z,2021-03-31T11:42:07.390Z,86400,46800.0
50,82000930,int_241,int_355,2021-03-31T11:26:54.069Z,2021-04-01T14:09:20.272Z,43200,0.0
51,82000906,,int_37,2021-03-31T11:26:36.373Z,,0,0.0
52,82000904,int_292,int_296,2021-03-31T11:26:35.177Z,2021-04-05T15:09:53.569Z,18000,18000.0
53,82000639,int_344,int_296,2021-03-31T11:24:03.953Z,2021-04-26T11:21:06.242Z,216000,192600.0
54,82000571,int_356,int_37,2021-03-31T11:23:26.592Z,2021-05-09T06:46:31.576Z,3600,10800.0
55,82000533,int_347,int_347,2021-03-31T11:23:01.275Z,2021-03-31T12:06:34.975Z,10800,0.0
56,82000483,int_357,int_348,2021-03-31T11:22:25.227Z,2021-04-01T05:59:28.505Z,18300,18000.0
57,82000100,int_296,int_296,2021-03-31T11:19:04.683Z,,57600,0.0
58,81996651,int_307,int_307,2021-03-31T10:51:43.260Z,2021-03-31T11:00:26.714Z,0,3600.0
59,81996542,int_4,int_342,2021-03-31T10:50:48.966Z,2021-04-06T07:40:08.239Z,25200,0.0
60,81995470,int_358,int_166,2021-03-31T10:42:43.332Z,,0,0.0
61,81995221,int_358,int_166,2021-03-31T10:40:39.709Z,,0,0.0
62,81994617,int_359,int_359,2021-03-31T10:35:19.883Z,2021-03-31T13:10:50.985Z,0,9000.0
63,81991878,int_360,int_194,2021-03-31T10:18:11.382Z,2021-05-03T09:14:04.676Z,57600,115200.0
64,81991425,int_361,int_194,2021-03-31T10:15:11.320Z,2021-04-08T08:32:50.410Z,28800,28800.0
65,81991159,int_360,int_194,2021-03-31T10:12:56.451Z,2021-04-26T10:07:56.164Z,28800,3600.0
66,81990968,int_360,int_194,2021-03-31T10:11:38.932Z,2021-04-19T15:13:04.048Z,57600,140400.0
67,81990739,int_361,int_194,2021-03-31T10:09:55.485Z,2021-04-27T04:51:43.075Z,144000,97200.0
68,81990232,int_362,int_194,2021-03-31T10:06:33.121Z,2021-04-18T11:54:43.032Z,86400,86400.0
69,81989812,int_347,int_255,2021-03-31T10:02:56.996Z,2021-03-31T12:23:31.801Z,7200,7200.0
70,81989810,int_274,int_273,2021-03-31T10:02:56.615Z,2021-03-31T10:27:55.213Z,10800,0.0
71,81989599,int_357,int_349,2021-03-31T10:01:24.028Z,2021-04-04T13:19:58.773Z,4500,3600.0
72,81989576,,int_336,2021-03-31T10:01:13.169Z,,0,0.0
73,81989331,int_354,int_319,2021-03-31T09:59:17.901Z,2021-04-01T06:11:13.267Z,0,0.0
74,81988407,int_150,int_150,2021-03-31T09:48:03.520Z,,0,0.0
75,81987433,int_363,int_364,2021-03-31T09:38:26.529Z,2021-04-28T11:27:27.812Z,190800,26100.0
76,81987048,,int_37,2021-03-31T09:35:16.194Z,,0,0.0
77,81986688,int_365,int_366,2021-03-31T09:29:54.357Z,2021-03-31T13:49:26.882Z,28800,10800.0
78,81986631,int_367,int_368,2021-03-31T09:29:11.072Z,2021-04-04T12:52:06.154Z,21600,36000.0
79,81986248,int_256,int_254,2021-03-31T09:23:50.075Z,2021-04-08T06:46:28.210Z,3600,0.0
